compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
jit;2200;2000;11308;4299;2099;130670771038;83623831543;47046939495;None
predictive.lstm-50;2200;1500;8348;4978;2778;99575002966;82418625225;17156377740;None
jit;2200;1500;10988;3941;1741;130856932419;83866830601;46990101817;None
predictive.lstm-50;2200;1000;7884;3908;1702;125199355720;84910744613;40288611106;None
jit;2200;1000;10180;3296;1096;131348278493;84713893151;46634385341;None
predictive.lstm-50;2200;500;8922;2460;260;184775885318;93630089247;91145796071;None
jit;2200;500;9781;2464;264;156140572842;91280875302;64859697539;None
predictive.lstm-50;2100;2500;11021;7218;5107;97160981366;82797955820;14363025546;None
jit;2100;2500;12940;4514;2414;135607356018;83539163777;52068192241;None
predictive.lstm-50;2100;2000;11088;7218;5107;95875296075;81307232043;14568064032;None
jit;2100;2000;12928;4423;2323;137623516590;83544990746;54078525844;None
predictive.lstm-50;2100;1500;12730;8350;6246;104940667861;82199251999;22741415861;None
jit;2100;1500;12801;4490;2390;136811452330;83760707943;53050744386;None
predictive.lstm-50;2100;1000;8686;4208;2102;128697894663;84841252558;43856642105;None
jit;2100;1000;11675;3801;1701;135948185128;84302063774;51646121354;None
predictive.lstm-50;2100;500;8935;2467;367;185217423190;93513704062;91703719128;None
jit;2100;500;10659;3598;1498;157550751362;91390384158;66160367203;None
predictive.lstm-50;2000;2500;15989;11454;9434;101354377923;81813904481;19540473442;None
jit;2000;2500;14175;4669;2669;140618746931;83636151646;56982595285;None
predictive.lstm-50;2000;2000;15780;11382;9367;100691670477;81625435321;19066235156;None
jit;2000;2000;14188;4670;2670;141015795862;83578315299;57437480562;None
predictive.lstm-50;2000;1500;15604;11029;9029;107056688924;82156012025;24900676898;None
jit;2000;1500;14219;4671;2671;139321086010;83802816659;55518269350;None
predictive.lstm-50;2000;1000;10986;5691;3683;131315623987;84540308501;46775315485;None
jit;2000;1000;13682;4451;2451;141857966623;83858754987;57999211636;None
predictive.lstm-50;2000;500;10189;3123;1119;186873459250;93645753834;93227705416;None
jit;2000;500;11729;3736;1736;160670126803;91438512867;69231613936;None
predictive.lstm-50;2500;2500;4168;2460;0;87164011950;80999985548;6164026401;None
jit;2500;2500;9300;2460;0;125118260855;83732905716;41385355139;None
predictive.lstm-50;2500;2000;4024;2460;0;87277544802;81149768171;6127776631;None
jit;2500;2000;9470;2460;0;125477144173;83130834374;42346309799;None
predictive.lstm-50;2500;1500;4436;2460;0;91472339560;81508927502;9963412058;None
